fertility,gdppc_maddison,hc,survival_65,telephone,urban,country
6.610599999999998,429.4,1.1021152854,32.232059680000006,0.1711678435,7.776599999999999,Mozambique
7.087100000000001,597.4,1.3256217479,30.949823340000002,0.0949789795,4.941600000000001,Malawi
5.8124,612.2,1.4601660608000002,41.587479130000006,0.08894148800000001,5.947999999999999,Lesotho
8.199499999999999,670.4,1.0719483259,35.680596550000004,0.0325383035,2.8576,Rwanda
6.882199999999999,694.4,1.0160242081,31.712277100000005,0.0534747105,7.4612,Ethiopia
7.041699999999999,732.0,1.0205165147,18.385722880000003,0.0389999615,12.4755,Mali
6.668699999999999,1041.4,1.1933977722999998,43.64824878999999,0.146925604,4.1902,Botswana
5.816599999999998,1046.4,1.1593244553999997,33.53652629,0.099337222,18.703500000000002,India
7.0744,1200.0,1.1446051597999998,39.94419610999999,0.11432991349999999,5.430300000000001,Uganda
6.5102,1224.6,1.0798814297000001,30.60256941,0.0884308965,12.3062,Benin
7.515899999999999,1331.8,1.0093715666,24.964976829999998,0.022368037,6.812400000000001,Niger
6.6,1494.6,1.154836309,44.602840889999996,0.1684834715,23.3763,Pakistan
7.3290999999999995,1603.2,1.2964730382,50.42617828,1.455030533,14.487900000000002,Zimbabwe
6.767799999999999,1653.9,1.0569535851,35.40574859,0.073646974,14.678699999999997,Togo
5.6094,1760.5,1.2443786741,44.31241753,0.107553098,15.6786,Indonesia
6.065,1839.0,1.385118866,52.30390684,0.1526404335,20.1674,Thailand
5.013600000000001,1942.0,1.6909030318,61.85589660000001,0.23996065049999998,17.0229,Sri Lanka
7.1544,2082.5,1.0531056166,28.75440149,0.283795005,26.051599999999997,Senegal
6.9803,2318.5,1.0624098537000002,46.347556700000005,0.6142854615,31.625,Morocco
7.5435,2544.4,1.2706818222,51.309991720000006,0.955527346,39.696999999999996,Syrian Arab Republic
6.954600000000001,2625.8,1.1072209834,37.39743395,0.676546384,39.7464,Tunisia
2.7050000000000005,2700.9,1.7950033545999997,74.33972851,3.7148293580000002,89.8703,Malta
6.3055,2739.1,1.5706538441000002,66.58653378,0.44038588,36.186099999999996,Paraguay
7.2614,3052.2,1.3430711627,41.170743730000005,0.483702613,23.1191,Zambia
5.925600000000001,3265.9,1.4164573906999998,60.78340594000001,0.70900845,29.6087,Malaysia
5.452,3467.5,1.4328570247999999,57.65456675,1.0687487455,38.41760000000001,Mauritius
6.7662,3742.2,1.1873422741000002,42.957746150000006,0.461176092,33.512699999999995,Guatemala
6.286099999999999,4278.5,1.6271539688,57.660522529999994,1.9054750365,51.747699999999995,Colombia
6.043800000000001,4430.7,1.2721011521,45.680999369999995,0.720516763,34.19070000000001,Turkey
5.954300000000001,4784.8,1.6539774299,64.32910322000001,1.003527991,35.777699999999996,Costa Rica
5.689,4855.7,1.4459614634,52.62205265,0.960022174,50.545300000000005,Brazil
4.629,5419.0,1.5495735049000001,66.26128496999999,2.6906575659999996,100.0,Singapore
3.9356,5425.7,2.1242688059,69.17640352000001,3.794832718,37.1046,Barbados
7.952500000000002,5780.0,1.2676043988,51.88676045000001,1.243808287,53.874300000000005,Jordan
5.682599999999999,5815.4,1.8911482454000001,67.00955803,1.3606098845,37.144400000000005,Jamaica
3.1483999999999996,5826.8,1.8669281603999999,77.59311885999998,2.6962799795,37.9398,Cyprus
6.2486,6143.5,1.5299867867999999,42.529562549999994,1.9139459855,19.8442,Namibia
4.3641000000000005,6510.3,2.0236368418,56.12144457000001,1.7168996175,71.2756,Chile
6.760600000000001,6663.8,1.6489949822000003,56.42754403,1.008878627,54.505500000000005,Mexico
3.164,6770.6,1.3412334801,68.64125646,2.84852096,36.6796,Portugal
2.8597000000000006,7412.0,1.8497616410000002,70.57566573,4.801473806,81.2135,Uruguay
5.916100000000001,8252.7,1.7635805965,43.85171067,3.8480385605,47.1852,South Africa
